"","allCols","predCols","withY","noBMI","mean","completeCases","fullJoint","RF","SVM","allNeg","allPos","c1","c3","c4","c5","c6","doctor","SAEM","pos.w"
"239",3.63106796116505,3.59870550161812,3.57281553398058,3.70873786407767,3.60517799352751,3.68284789644013,3.70226537216828,3.8705501618123,4.47249190938511,8.9126213592233,8.9126213592233,4.86084142394822,0,0.666666666666667,7.38511326860842,3.66990291262136,5.7411003236246,3.50809061488673,9
"240",3.45395704619006,3.41865254486614,3.39511621065019,3.51868196528391,3.4363047955281,3.50691379817593,3.54810238305384,3.75404530744337,4.40129449838188,8.10238305383936,8.10238305383936,4.89555751691674,0,0.606060606060606,7.43748161223889,3.49514563106796,5.76640188290674,3.41865254486614,10
"241",1.01206237128567,1.01206237128567,1.01206237128567,0.994410120623713,1.01206237128567,1.00617828773169,1.01794645483966,0.988526037069726,1.01794645483966,1.01794645483966,1.01794645483966,1.01794645483966,0,1.01794645483966,1.01794645483966,0.959105619299794,1.01794645483966,1.00617828773169,0.1
"242",1.82308522114347,1.82308522114347,1.83387270765912,1.82308522114347,1.82308522114347,1.83387270765912,1.86623516720604,1.81229773462783,1.86623516720604,1.86623516720604,1.86623516720604,1.86623516720604,0,1.86623516720604,1.86623516720604,1.70442286947141,1.86623516720604,1.84466019417476,0.2
"243",2.49937764500871,2.49937764500871,2.5143141647996,2.5143141647996,2.49937764500871,2.5143141647996,2.58401792382375,2.49937764500871,2.54418720438138,2.58401792382375,2.58401792382375,2.45456808563605,0,2.58401792382375,2.58401792382375,2.33507592730894,2.58401792382375,2.55414488424197,0.3
"244",3.07905686546463,3.07905686546463,3.09754969949145,3.09754969949145,3.07905686546463,3.09754969949145,3.19001386962552,3.05131761442441,3.042071197411,3.19926028663893,3.19926028663893,2.6537216828479,0,3.19926028663893,3.07905686546463,2.83865002311604,3.19926028663893,3.1622746185853,0.4
"245",3.5814455231931,3.5814455231931,3.5814455231931,3.60302049622438,3.5814455231931,3.60302049622438,3.5814455231931,3.51672060409924,3.47357065803668,3.73247033441208,3.73247033441208,2.82632146709817,0,3.73247033441208,3.40884573894283,3.25782092772384,3.73247033441208,3.53829557713053,0.5
"246",3.94822006472492,3.96440129449838,3.87540453074434,3.91585760517799,3.94012944983819,3.98058252427184,3.89967637540453,3.92394822006472,3.81877022653722,4.19902912621359,4.19902912621359,2.97734627831715,0,4.19902912621359,3.69741100323625,3.62459546925566,4.0453074433657,3.77022653721683,0.6
"247",4.17666095564439,4.18046830382638,4.13478012564249,4.18427565200838,4.17666095564439,4.23757852655625,4.15381686655245,4.24138587473824,4.04721111745669,4.61069864839139,4.61069864839139,3.11060346468685,0,4.61069864839139,3.95202741290691,3.92537597563297,4.15000951837045,3.97487150199886,0.7
"248",4.30780294857965,4.35814455231931,4.32937792161093,4.33656957928803,4.34376123696512,4.37971952535059,4.35095289464222,4.48040273282992,4.25026968716289,4.97662711254944,4.97662711254944,3.22905429701546,0,4.42286947141316,4.17835311039195,4.16396979503776,4.2430780294858,4.14958647968357,0.8
"249",4.42514052120593,4.51711803781298,4.48645886561063,4.45579969340828,4.49327201498893,4.47623914154318,4.47964571623233,4.69425992164878,4.43195367058423,5.30403679100664,5.30403679100664,3.33503662067791,0,4.19008686765457,4.38085505024698,4.37404190086868,4.32634985522057,4.29228410832908,0.9
"250",4.53074433656958,4.62783171521036,4.62783171521036,4.5631067961165,4.62783171521036,4.5631067961165,4.59546925566343,4.88673139158576,4.59546925566343,5.59870550161812,5.59870550161812,3.43042071197411,0,3.98058252427184,4.5631067961165,4.5631067961165,4.40129449838188,4.40129449838188,1
"251",4.75080906148867,4.80258899676375,4.68608414239482,4.84142394822006,4.94498381877023,4.89320388349515,4.82847896440129,5.24271844660194,5.12621359223301,6.71844660194175,6.71844660194175,3.79288025889968,0,3.18446601941748,5.25566343042071,5.24271844660194,4.68608414239482,4.51779935275081,1.5
"252",4.78964401294498,4.83279395900755,4.72491909385113,4.98381877022654,4.94066882416397,4.91909385113269,4.8975188781014,5.24271844660194,5.24271844660194,7.46494066882416,7.46494066882416,4.03451995685005,0,2.6537216828479,5.71736785329018,5.48004314994606,4.87594390507012,4.57389428263215,2
